row,col,proxy_class,spatial_block,partition,blue,green,red,nir08,swir16,swir22,NDVI,NDBI,MNDWI,BSI
15,41,2,0,development,0.107724994,0.1594525,0.1981725,0.27638248,0.3418325,0.32610252,0.164807,0.105869345,-0.363825,0.16869971
162,168,1,22,development,0.088255,0.12957375,0.1497175,0.2213275,0.248965,0.2239125,0.19299547,0.05876661,-0.31540036,0.12580034
488,598,4,78,development,0.0276175,0.054155007,0.039415002,0.2891975,0.1548325,0.0770625,0.7601126,-0.30260345,-0.48173928,-0.23982882
517,231,5,73,development,0.07308875,0.11131376,0.13182876,0.30631626,0.3020125,0.20314999,0.39824143,-0.0070747165,-0.46137583,0.06693696
326,461,5,46,development,0.040954992,0.060094997,0.061635002,0.23812999,0.18780501,0.118504986,0.58877784,-0.11815178,-0.5151675,-0.056089997
255,515,4,37,development,0.016204998,0.031605005,0.025857493,0.1321175,0.0681525,0.037407503,0.6726381,-0.31939378,-0.36636338,-0.22412388
334,501,4,47,development,0.026600003,0.047555,0.044667497,0.21247251,0.13393249,0.07560499,0.6525823,-0.2267289,-0.47594184,-0.14478457
557,66,2,80,development,0.113445014,0.16214749,0.20440125,0.29119125,0.3599275,0.32371002,0.1751237,0.10556639,-0.3788345,0.1648073
160,250,5,23,development,0.08668749,0.132805,0.159975,0.3063575,0.307595,0.23087,0.31390154,0.0020156472,-0.3968892,0.08659505
490,135,2,72,development,0.07467,0.114765,0.1400925,0.1883275,0.21282999,0.192975,0.14686985,0.061079465,-0.29934826,0.14600109
409,266,5,63,development,0.06438501,0.09339751,0.11273001,0.2541625,0.26007497,0.17270751,0.3854875,0.011497573,-0.47154298,0.07848024
31,74,3,1,development,0.06655751,0.11102499,0.12601249,0.28193748,0.23714001,0.1838725,0.38221595,-0.08630208,-0.36222774,0.02059657
301,599,4,48,outer_proxy_test,0.01814375,0.03975875,0.029776245,0.188795,0.0991725,0.052670002,0.7275374,-0.31122434,-0.4276486,-0.23219083
584,507,1,87,outer_proxy_test,0.08005999,0.11831249,0.139405,0.2252325,0.23153,0.20620249,0.23537761,0.013787251,-0.32362422,0.09707164
638,15,2,90,development,0.07523374,0.11145124,0.13987249,0.2509725,0.2661525,0.2051575,0.28425595,0.029354589,-0.40969208,0.10900754
585,391,4,85,outer_proxy_test,0.023107499,0.042825,0.033034995,0.24008249,0.12164001,0.058747485,0.7580895,-0.32744017,-0.47922054,-0.25968906
105,156,1,12,development,0.0886675,0.131815,0.1542825,0.24376751,0.26147753,0.22768001,0.22480848,0.03505233,-0.32968467,0.11136805
281,391,1,45,development,0.054045007,0.08378625,0.09049624,0.18270375,0.170975,0.14186625,0.3375092,-0.03316215,-0.3422371,0.049621627
4,494,4,7,outer_proxy_test,0.019229993,0.028084993,0.022392496,0.123207495,0.052092507,0.026242495,0.69241077,-0.40567592,-0.29942957,-0.31325698
106,264,2,13,development,0.095735,0.14281501,0.1727625,0.218935,0.24203499,0.22768001,0.11787795,0.0501117,-0.25781468,0.13726106
570,90,2,81,outer_proxy_test,0.07368,0.1075325,0.12918876,0.16799125,0.25082123,0.223775,0.13056898,0.19777343,-0.39985275,0.22252361
106,438,3,16,development,0.047871247,0.07671875,0.08169626,0.21365501,0.2049925,0.13693,0.4467858,-0.020691646,-0.4553377,0.04589894
583,493,1,87,outer_proxy_test,0.0634775,0.09688999,0.108907506,0.21478249,0.2312,0.18543999,0.3270876,0.036811993,-0.40936944,0.1000174
554,22,3,80,development,0.06598,0.104012504,0.11163001,0.254575,0.23551749,0.18197499,0.39034146,-0.03888557,-0.38731477,0.03982681
13,146,3,2,outer_proxy_test,0.05525501,0.09136249,0.096587494,0.23439,0.2184125,0.15557499,0.4163501,-0.03528581,-0.41013643,0.041933663
588,76,4,81,outer_proxy_test,0.041779995,0.07733749,0.068895,0.28540248,0.191435,0.1163875,0.6110896,-0.19706397,-0.42451334,-0.11378904
86,524,1,17,development,0.06600751,0.09914501,0.10852249,0.24085249,0.20997001,0.16151501,0.3787621,-0.06850252,-0.35852352,0.018601513
614,119,2,91,development,0.1208975,0.1772175,0.2285325,0.30214998,0.36324126,0.32313251,0.1387223,0.091812566,-0.34419605,0.16626205
569,53,2,80,development,0.04836625,0.066007495,0.0709025,0.094799995,0.11369249,0.09695874,0.14421931,0.09061476,-0.26535892,0.12639916
455,213,1,63,development,0.068867505,0.0979625,0.108522505,0.19190249,0.19721,0.16821125,0.27754012,0.013640042,-0.33623558,0.079368584
397,561,4,58,development,0.014004998,0.032168753,0.023877494,0.1435575,0.0680975,0.035977498,0.7147849,-0.35652357,-0.3583334,-0.26283625
237,297,2,34,development,0.079427496,0.11858751,0.139845,0.19138001,0.23274,0.21538751,0.15558913,0.09751955,-0.3249176,0.1581888
149,369,5,25,development,0.059544995,0.09239374,0.10912751,0.32643253,0.2819925,0.170755,0.49890944,-0.0730411,-0.5064255,0.006617586
53,305,3,4,outer_proxy_test,0.062267497,0.10186751,0.12370251,0.23430751,0.21877001,0.17774,0.30894387,-0.03429325,-0.36459395,0.07182176
621,500,3,97,development,0.062748745,0.09804501,0.11986625,0.24514249,0.24160874,0.19084375,0.34321436,-0.0072598704,-0.42267674,0.08005145
156,450,5,26,development,0.08184749,0.119440004,0.14321375,0.29350126,0.32812378,0.23906499,0.34413177,0.05569679,-0.466266,0.11336996
199,230,2,23,development,0.1310725,0.19011499,0.2303475,0.292305,0.338835,0.31199503,0.11854433,0.07372375,-0.28116083,0.14689791
173,131,1,21,development,0.08512001,0.12199749,0.14331,0.21736751,0.24277751,0.2070825,0.20532891,0.055221714,-0.33110827,0.12141013
454,230,4,63,development,0.026105002,0.045808747,0.0363625,0.2645025,0.12899624,0.06569125,0.7582803,-0.34436265,-0.47588742,-0.27468872
218,215,3,33,outer_proxy_test,0.076636255,0.10711999,0.139625,0.26704624,0.26675752,0.2255625,0.31332743,-0.0005408821,-0.42697814,0.083592765
534,484,1,77,outer_proxy_test,0.0847075,0.12762125,0.15028125,0.256995,0.25618377,0.21567625,0.26201808,-0.0015807732,-0.3349683,0.08656154
543,332,4,84,development,0.035070002,0.062047496,0.056822494,0.29249752,0.18153499,0.10794501,0.674668,-0.23408209,-0.49054223,-0.1576358
114,191,3,12,development,0.0714525,0.11037876,0.12830876,0.24845625,0.2388725,0.20258625,0.3188924,-0.019665895,-0.36791202,0.06880104
279,590,4,48,outer_proxy_test,0.014706247,0.034561254,0.025059998,0.17278999,0.082315,0.04112,0.7466768,-0.3546579,-0.40858382,-0.27171606
146,386,5,25,development,0.061635002,0.09557001,0.1158375,0.33564502,0.28257,0.1718,0.4868572,-0.085852034,-0.49452576,0.0014169902
428,399,5,65,development,0.032924995,0.047775,0.05709751,0.14185251,0.12381251,0.08690749,0.42601153,-0.06790507,-0.44314128,0.017241294
234,82,3,31,development,0.053577498,0.085037485,0.087787494,0.266455,0.21514,0.14022999,0.50436497,-0.106552176,-0.43341863,-0.027457597
245,464,2,36,development,0.091596246,0.1243075,0.14621125,0.23261625,0.32164752,0.28087875,0.22808532,0.1606298,-0.44251105,0.18135527
622,92,2,91,development,0.10310499,0.15815999,0.19831,0.29038,0.336195,0.2863375,0.18840164,0.07311972,-0.36013597,0.15196285
