radius_m,w_lower,w_upper,component_id,component_name,rank,top3
500,0.6122448979591835,0.6145251396648048,139-013,Mohra Moradu,5,False
500,0.6122448979591835,0.6145251396648048,139-014,Pippala,11,False
500,0.6122448979591835,0.6145251396648048,139-015,Jaulian,2,True
500,0.6122448979591835,0.6145251396648048,139-016,Lalchak mounds,13,False
500,0.6122448979591835,0.6145251396648048,139-017,Bhallar,12,False
500,0.6122448979591835,0.6145251396648048,139-018,Giri Mosque / tombs,3,True
500,0.6145251396648048,0.6218487394957982,139-001,Khanpur Cave,14,False
500,0.6145251396648048,0.6218487394957982,139-003,Bhir Mound,16,False
500,0.6145251396648048,0.6218487394957982,139-004,Sirkap,10,False
500,0.6145251396648048,0.6218487394957982,139-005,Sirsukh,8,False
500,0.6145251396648048,0.6218487394957982,139-006,Dharmarajika,4,False
500,0.6145251396648048,0.6218487394957982,139-007,Khader Mohra,7,False
500,0.6145251396648048,0.6218487394957982,139-008,Kalawan,5,False
500,0.6145251396648048,0.6218487394957982,139-009,Giri complex,1,True
500,0.6145251396648048,0.6218487394957982,139-010,Kunala,9,False
500,0.6145251396648048,0.6218487394957982,139-011,Jandial,17,False
500,0.6145251396648048,0.6218487394957982,139-012,Lalchak / Badalpur,15,False
500,0.6145251396648048,0.6218487394957982,139-013,Mohra Moradu,6,False
500,0.6145251396648048,0.6218487394957982,139-014,Pippala,11,False
500,0.6145251396648048,0.6218487394957982,139-015,Jaulian,2,True
500,0.6145251396648048,0.6218487394957982,139-016,Lalchak mounds,13,False
500,0.6145251396648048,0.6218487394957982,139-017,Bhallar,12,False
500,0.6145251396648048,0.6218487394957982,139-018,Giri Mosque / tombs,3,True
500,0.6218487394957982,0.6250000000000027,139-001,Khanpur Cave,14,False
500,0.6218487394957982,0.6250000000000027,139-003,Bhir Mound,16,False
500,0.6218487394957982,0.6250000000000027,139-004,Sirkap,10,False
500,0.6218487394957982,0.6250000000000027,139-005,Sirsukh,8,False
500,0.6218487394957982,0.6250000000000027,139-006,Dharmarajika,4,False
500,0.6218487394957982,0.6250000000000027,139-007,Khader Mohra,7,False
500,0.6218487394957982,0.6250000000000027,139-008,Kalawan,5,False
500,0.6218487394957982,0.6250000000000027,139-009,Giri complex,1,True
500,0.6218487394957982,0.6250000000000027,139-010,Kunala,9,False
500,0.6218487394957982,0.6250000000000027,139-011,Jandial,17,False
500,0.6218487394957982,0.6250000000000027,139-012,Lalchak / Badalpur,15,False
500,0.6218487394957982,0.6250000000000027,139-013,Mohra Moradu,6,False
500,0.6218487394957982,0.6250000000000027,139-014,Pippala,11,False
500,0.6218487394957982,0.6250000000000027,139-015,Jaulian,2,True
500,0.6218487394957982,0.6250000000000027,139-016,Lalchak mounds,12,False
500,0.6218487394957982,0.6250000000000027,139-017,Bhallar,13,False
500,0.6218487394957982,0.6250000000000027,139-018,Giri Mosque / tombs,3,True
500,0.6250000000000027,0.6369426751592354,139-001,Khanpur Cave,14,False
500,0.6250000000000027,0.6369426751592354,139-003,Bhir Mound,16,False
500,0.6250000000000027,0.6369426751592354,139-004,Sirkap,10,False
500,0.6250000000000027,0.6369426751592354,139-005,Sirsukh,8,False
500,0.6250000000000027,0.6369426751592354,139-006,Dharmarajika,4,False
500,0.6250000000000027,0.6369426751592354,139-007,Khader Mohra,6,False
500,0.6250000000000027,0.6369426751592354,139-008,Kalawan,5,False
500,0.6250000000000027,0.6369426751592354,139-009,Giri complex,1,True
500,0.6250000000000027,0.6369426751592354,139-010,Kunala,9,False
500,0.6250000000000027,0.6369426751592354,139-011,Jandial,17,False
500,0.6250000000000027,0.6369426751592354,139-012,Lalchak / Badalpur,15,False
500,0.6250000000000027,0.6369426751592354,139-013,Mohra Moradu,7,False
500,0.6250000000000027,0.6369426751592354,139-014,Pippala,11,False
500,0.6250000000000027,0.6369426751592354,139-015,Jaulian,2,True
500,0.6250000000000027,0.6369426751592354,139-016,Lalchak mounds,12,False
500,0.6250000000000027,0.6369426751592354,139-017,Bhallar,13,False
500,0.6250000000000027,0.6369426751592354,139-018,Giri Mosque / tombs,3,True
500,0.6369426751592354,0.670731707317073,139-001,Khanpur Cave,14,False
500,0.6369426751592354,0.670731707317073,139-003,Bhir Mound,16,False
500,0.6369426751592354,0.670731707317073,139-004,Sirkap,9,False
500,0.6369426751592354,0.670731707317073,139-005,Sirsukh,8,False
500,0.6369426751592354,0.670731707317073,139-006,Dharmarajika,4,False
500,0.6369426751592354,0.670731707317073,139-007,Khader Mohra,6,False
500,0.6369426751592354,0.670731707317073,139-008,Kalawan,5,False
500,0.6369426751592354,0.670731707317073,139-009,Giri complex,1,True
500,0.6369426751592354,0.670731707317073,139-010,Kunala,10,False
500,0.6369426751592354,0.670731707317073,139-011,Jandial,17,False
500,0.6369426751592354,0.670731707317073,139-012,Lalchak / Badalpur,15,False
500,0.6369426751592354,0.670731707317073,139-013,Mohra Moradu,7,False
500,0.6369426751592354,0.670731707317073,139-014,Pippala,11,False
500,0.6369426751592354,0.670731707317073,139-015,Jaulian,2,True
500,0.6369426751592354,0.670731707317073,139-016,Lalchak mounds,12,False
500,0.6369426751592354,0.670731707317073,139-017,Bhallar,13,False
500,0.6369426751592354,0.670731707317073,139-018,Giri Mosque / tombs,3,True
500,0.670731707317073,0.6796116504854365,139-001,Khanpur Cave,14,False
500,0.670731707317073,0.6796116504854365,139-003,Bhir Mound,16,False
500,0.670731707317073,0.6796116504854365,139-004,Sirkap,9,False
500,0.670731707317073,0.6796116504854365,139-005,Sirsukh,8,False
500,0.670731707317073,0.6796116504854365,139-006,Dharmarajika,4,False
500,0.670731707317073,0.6796116504854365,139-007,Khader Mohra,6,False
500,0.670731707317073,0.6796116504854365,139-008,Kalawan,5,False
