season_year,season,complete_period,valid_days,missing_weather_values,precipitation_sum_mm,precipitation_mean_mm_day,rx1day_mm,rx5day_mm,wet_days_ge1mm,heavy_precipitation_days,consecutive_wet_days,consecutive_dry_days,temperature_mean_c,tmax_mean_c,tmin_mean_c,annual_or_period_max_tmax_c,hot_days,heatwave_max_days,relative_humidity_mean_percent,dew_point_mean_c,soil_moisture_mean_m3m3,et0_sum_mm
1999,Monsoon,True,92,0,351.8,3.823913043478261,38.1,53.75,53,1,10,10,27.379076086956523,31.719565217391303,23.083152173913046,37.2,0,0,73.1413043478261,21.76413043478261,0.3115081521739131,409.38
1999,Post-monsoon,True,61,0,95.0,1.5573770491803278,36.849999999999994,78.75,9,1,4,25,18.027049180327868,24.73032786885246,12.112295081967213,29.425,0,0,59.790983606557376,9.02377049180328,0.256172131147541,186.395
2000,DJF,True,91,0,130.55,1.4346153846153848,26.95,69.5,12,0,5,40,9.607967032967034,16.223626373626374,3.734065934065934,21.625,0,0,67.89285714285714,3.236538461538462,0.28857692307692306,185.44000000000003
2000,MAM,True,92,0,75.29999999999998,0.818478260869565,20.15,22.599999999999998,19,0,4,27,23.361684782608698,30.371467391304346,15.715760869565216,41.15,17,6,43.125,7.996195652173914,0.18562228260869568,525.225
2000,Monsoon,True,92,0,255.9,2.7815217391304348,25.55,44.449999999999996,50,0,8,9,27.06114130434783,31.46548913043479,22.64211956521739,36.45,0,0,72.16847826086956,21.141847826086956,0.2950326086956521,408.09000000000003
2000,Post-monsoon,True,61,0,13.4,0.219672131147541,6.75,11.35,3,0,2,52,19.48155737704918,26.41393442622951,12.987704918032787,32.85,0,0,49.63934426229508,7.41516393442623,0.15042622950819673,210.66500000000002
2001,DJF,True,90,0,59.25,0.6583333333333333,13.1,20.650000000000002,10,0,3,23,10.7425,17.830555555555552,4.263333333333333,23.525,0,0,57.022222222222226,1.3327777777777776,0.19515555555555553,212.60499999999996
2001,MAM,True,92,0,125.65,1.3657608695652175,27.05,47.45,18,0,5,13,23.28586956521739,30.103804347826085,15.790760869565217,42.05,16,6,44.93478260869565,8.339130434782609,0.19828260869565215,509.01000000000005
2001,Monsoon,True,92,0,376.65,4.094021739130435,41.95,82.9,50,2,9,10,26.77445652173913,31.289130434782614,22.24809782608696,34.95,0,0,72.16304347826087,20.76630434782609,0.32161684782608696,400.74249999999995
2001,Post-monsoon,True,61,0,99.05000000000001,1.623770491803279,51.5,94.8,5,1,3,25,18.819262295081966,25.592213114754102,12.647131147540984,33.15,0,0,58.114754098360656,9.196311475409834,0.22289754098360662,194.2825
2002,DJF,True,90,0,179.70000000000002,1.9966666666666668,66.9,84.15000000000002,12,2,3,25,10.293333333333335,16.864444444444445,4.422777777777778,21.0,0,0,66.62222222222222,3.612222222222222,0.25857499999999994,182.7325
2002,MAM,True,92,0,124.2,1.35,32.6,50.050000000000004,18,0,4,31,22.858423913043477,29.67445652173913,15.47364130434783,41.2,15,7,48.47554347826087,8.870652173913044,0.23537500000000003,509.1775
2002,Monsoon,True,92,0,331.9,3.6076086956521736,29.450000000000003,71.85,46,0,18,10,27.518749999999994,32.31766304347826,22.65842391304348,39.425,11,9,67.35326086956522,20.105978260869566,0.2833478260869565,437.84999999999997
2002,Post-monsoon,True,61,0,15.25,0.25,6.35,12.45,3,0,2,28,19.208196721311474,25.800000000000004,13.118032786885244,32.1,0,0,56.221311475409834,9.310245901639341,0.15674590163934424,188.10250000000002
2003,DJF,True,90,0,360.84999999999997,4.009444444444444,98.7,228.9,22,3,6,32,10.456666666666667,16.552777777777774,5.016666666666667,21.15,0,0,69.3638888888889,4.398611111111111,0.27568333333333334,171.06250000000003
