epoch_id,label_year,item_id,platform,acquisition_datetime_utc,acquisition_date,weather_provider,precipitation_preceding_7d_mm,temperature_mean_preceding_7d_c,tmax_max_preceding_7d_c,data_completeness_preceding_7d,precipitation_preceding_30d_mm,temperature_mean_preceding_30d_c,tmax_max_preceding_30d_c,data_completeness_preceding_30d,precipitation_preceding_90d_mm,temperature_mean_preceding_90d_c,tmax_max_preceding_90d_c,data_completeness_preceding_90d,precipitation_preceding_180d_mm,temperature_mean_preceding_180d_c,tmax_max_preceding_180d_c,data_completeness_preceding_180d,precipitation_preceding_365d_mm,temperature_mean_preceding_365d_c,tmax_max_preceding_365d_c,data_completeness_preceding_365d,humidity_mean_preceding_7d_percent,soil_moisture_mean_preceding_7d_m3m3
E2009,2009,LE07_L2SP_150037_20091029_02_T1,landsat-7,2009-10-29T05:32:44.915635Z,2009-10-29,Open-Meteo ERA5-Seamless,0.19999999999999998,19.04642857142857,27.625,1.0,7.75,22.45583333333333,35.275,1.0,157.64999999999998,25.905277777777776,36.975,1.0,291.69999999999993,27.48125,42.725,1.0,773.5999999999999,20.949794520547947,42.725,1.0,37.75,0.1370357142857143
E2009,2009,LE07_L2SP_150037_20091029_02_T1,landsat-7,2009-10-29T05:32:44.915635Z,2009-10-29,NASA POWER,0.0,21.12142857142857,30.92,1.0,9.25,24.40433333333333,37.42,1.0,193.32000000000002,27.920777777777783,40.45,1.0,387.25,30.06744444444444,46.95,1.0,697.86,23.28391780821918,46.95,1.0,16.09142857142857,
E2009,2009,LE07_L2SP_150037_20091114_02_T1,landsat-7,2009-11-14T05:32:58.720375Z,2009-11-14,Open-Meteo ERA5-Seamless,18.2,15.007142857142856,26.425,1.0,19.2,18.789166666666667,29.575,1.0,124.75,23.77972222222223,36.975,1.0,284.1,26.8875,42.725,1.0,769.75,20.908835616438356,42.725,1.0,59.82142857142857,0.24825000000000003
E2009,2009,LE07_L2SP_150037_20091114_02_T1,landsat-7,2009-11-14T05:32:58.720375Z,2009-11-14,NASA POWER,9.52,17.437142857142856,28.36,1.0,9.6,21.091,32.64,1.0,152.51000000000002,25.677333333333333,37.93,1.0,357.78999999999996,29.43683333333334,46.95,1.0,689.49,23.23635616438356,46.95,1.0,35.28142857142858,
E2009,2009,LE07_L2SP_150037_20101016_02_T1,landsat-7,2010-10-16T05:34:46.160722Z,2010-10-16,Open-Meteo ERA5-Seamless,0.05,23.760714285714283,31.3,1.0,17.6,23.825833333333335,31.3,1.0,497.1,25.76888888888889,37.300000000000004,1.0,584.4,27.45263888888889,42.6,1.0,895.3500000000001,21.291506849315066,42.6,1.0,54.107142857142854,0.15610714285714283
E2009,2009,LE07_L2SP_150037_20101016_02_T1,landsat-7,2010-10-16T05:34:46.160722Z,2010-10-16,NASA POWER,1.81,25.17571428571429,33.21,1.0,18.860000000000003,25.229666666666663,33.44,1.0,497.38,27.19077777777778,41.85,1.0,669.46,29.423722222222224,46.5,1.0,906.56,23.28257534246575,46.5,1.0,49.5,
E2009,2009,LE07_L2SP_150037_20101101_02_T1,landsat-7,2010-11-01T05:34:54.409002Z,2010-11-01,Open-Meteo ERA5-Seamless,0.0,18.821428571428573,26.4,1.0,8.700000000000001,22.17,31.3,1.0,249.8,24.582777777777775,32.4,1.0,583.95,26.95791666666667,42.6,1.0,902.75,21.329520547945208,42.6,1.0,49.535714285714285,0.17396428571428574
E2009,2009,LE07_L2SP_150037_20101101_02_T1,landsat-7,2010-11-01T05:34:54.409002Z,2010-11-01,NASA POWER,0.0,20.35571428571429,28.85,1.0,17.68,23.698666666666668,33.71,1.0,246.10000000000002,25.936999999999998,33.71,1.0,652.14,28.87538888888889,46.5,1.0,922.43,23.284219178082186,46.5,1.0,40.73857142857143,
E2009,2009,LE07_L2SP_150037_20101203_02_T1,landsat-7,2010-12-03T05:35:18.263124Z,2010-12-03,Open-Meteo ERA5-Seamless,0.0,14.075000000000001,23.05,1.0,0.55,16.34,26.6,1.0,53.0,20.903055555555557,31.65,1.0,550.25,24.88013888888889,42.6,1.0,876.75,21.46054794520548,42.6,1.0,58.57142857142857,0.14049999999999999
E2009,2009,LE07_L2SP_150037_20101203_02_T1,landsat-7,2010-12-03T05:35:18.263124Z,2010-12-03,NASA POWER,0.0,16.334285714285713,26.11,1.0,10.08,17.92966666666667,29.69,1.0,79.77999999999999,22.336000000000002,33.71,1.0,612.5,26.547722222222223,46.5,1.0,921.3899999999999,23.335534246575346,46.5,1.0,30.96142857142857,
E2014,2014,LC08_L2SP_150037_20131016_02_T1,landsat-8,2013-10-16T05:44:14.145667Z,2013-10-16,Open-Meteo ERA5-Seamless,3.9499999999999997,24.732142857142858,31.725,1.0,8.75,25.854999999999997,32.85,1.0,479.74999999999994,26.50222222222222,34.5,1.0,628.5,27.379722222222224,41.724999999999994,1.0,1124.15,20.36205479452055,41.724999999999994,1.0,63.42857142857143,0.18064285714285716
E2014,2014,LC08_L2SP_150037_20131016_02_T1,landsat-8,2013-10-16T05:44:14.145667Z,2013-10-16,NASA POWER,11.389999999999999,25.055714285714284,32.34,1.0,26.5,25.663333333333334,32.61,1.0,467.74,27.562222222222225,37.45,1.0,704.5699999999999,29.22583333333334,46.18,1.0,1036.52,22.080000000000002,46.18,1.0,62.72142857142857,
E2014,2014,LC08_L2SP_150037_20131117_02_T1,landsat-8,2013-11-17T05:44:03.264130Z,2013-11-17,Open-Meteo ERA5-Seamless,0.0,13.317857142857141,21.625,1.0,30.85,16.970833333333335,28.825,1.0,99.05,23.006388888888885,32.875,1.0,644.9,26.038611111111116,41.724999999999994,1.0,1148.4499999999998,20.351301369863016,41.724999999999994,1.0,60.464285714285715,0.266
E2014,2014,LC08_L2SP_150037_20131117_02_T1,landsat-8,2013-11-17T05:44:03.264130Z,2013-11-17,NASA POWER,0.0,15.53,24.75,1.0,12.14,18.560333333333332,30.97,1.0,207.44,23.793111111111113,34.4,1.0,689.72,27.887444444444444,46.18,1.0,1045.07,22.075698630136987,46.18,1.0,41.32142857142857,
E2014,2014,LC08_L2SP_150037_20131203_02_T1,landsat-8,2013-12-03T05:44:00.100354Z,2013-12-03,Open-Meteo ERA5-Seamless,0.0,13.835714285714287,21.875,1.0,23.45,14.05,22.975,1.0,77.1,20.711111111111112,32.85,1.0,634.65,24.58694444444444,40.95,1.0,1140.3,20.39890410958904,41.724999999999994,1.0,64.17857142857143,0.17342857142857143
E2014,2014,LC08_L2SP_150037_20131203_02_T1,landsat-8,2013-12-03T05:44:00.100354Z,2013-12-03,NASA POWER,0.0,16.404285714285717,25.93,1.0,8.18,16.30633333333333,26.13,1.0,115.07000000000002,21.702555555555556,32.61,1.0,679.84,26.383333333333333,46.18,1.0,1039.18,22.153150684931507,46.18,1.0,36.885714285714286,
E2014,2014,LC08_L2SP_150037_20141120_02_T1,landsat-8,2014-11-20T05:42:32.227118Z,2014-11-20,Open-Meteo ERA5-Seamless,0.0,13.892857142857142,22.075,1.0,18.6,16.525833333333335,26.55,1.0,455.40000000000003,21.56527777777778,33.2,1.0,699.85,25.64916666666667,40.325,1.0,1123.0,19.868630136986305,40.325,1.0,61.964285714285715,0.22089285714285717
E2014,2014,LC08_L2SP_150037_20141120_02_T1,landsat-8,2014-11-20T05:42:32.227118Z,2014-11-20,NASA POWER,0.0,16.837142857142858,26.05,1.0,24.449999999999996,18.692999999999998,30.14,1.0,260.92,23.41011111111111,35.57,1.0,643.83,27.9495,45.56,1.0,891.08,22.31717808219178,45.56,1.0,34.472857142857144,
E2014,2014,LC08_L2SP_150037_20141206_02_T1,landsat-8,2014-12-06T05:42:31.933279Z,2014-12-06,Open-Meteo ERA5-Seamless,0.0,13.535714285714286,21.675,1.0,11.5,13.925,23.175,1.0,73.19999999999999,19.375,31.225,1.0,695.75,24.30902777777778,40.325,1.0,1123.4499999999998,19.84595890410959,40.325,1.0,60.392857142857146,0.17557142857142854
E2014,2014,LC08_L2SP_150037_20141206_02_T1,landsat-8,2014-12-06T05:42:31.933279Z,2014-12-06,NASA POWER,0.0,16.03857142857143,25.23,1.0,6.84,16.621666666666666,27.64,1.0,95.82,21.331222222222223,32.56,1.0,637.59,26.528222222222222,45.56,1.0,891.0799999999999,22.315753424657533,45.56,1.0,43.98857142857143,
