component_id,component_name,radius_m,metric,theil_sen_slope_per_year,slope_low_95,slope_high_95,spearman_rho_year,n_epochs,interpretation
139-005,Sirsukh (fortified ruined city),500,ndbi_median,-0.0028538798292477925,-0.006666016578674316,0.0037693679332733154,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),500,landscape_pressure_score,-0.0007352941176470562,-0.038823529411764715,0.052941176470588235,0.09999999999999999,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),500,integrated_exposure_score,-0.0006835511982570846,-0.024299201161946248,0.03178286129266521,0.09999999999999999,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,500,ndvi_median,0.006980437040328979,-0.004683011770248413,0.011493045091629028,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,500,mndwi_median,-0.00030110180377960203,-0.001603984832763672,0.0031713128089904787,0.09999999999999999,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,500,ndbi_median,-0.004362247372046113,-0.007711417973041534,0.0017345745116472244,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,500,landscape_pressure_score,-0.009852941176470592,-0.03529411764705883,-0.006470588235294117,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,500,integrated_exposure_score,-0.006411583151779229,-0.01540668119099491,0.011978939724037763,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-007,Khader Mohra (Akhuri),500,ndvi_median,0.0044391810894012455,-0.0009112536907196044,0.018595629930496217,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-007,Khader Mohra (Akhuri),500,mndwi_median,-0.0006032422184944153,-0.004942560195922851,0.0016259551048278809,-0.3,5,descriptive_five_epoch_trajectory
139-007,Khader Mohra (Akhuri),500,ndbi_median,-0.003765531163662672,-0.008691433072090148,0.00032044649124145507,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-007,Khader Mohra (Akhuri),500,landscape_pressure_score,0.002500000000000005,-0.030882352941176472,0.046176470588235284,0.3,5,descriptive_five_epoch_trajectory
139-007,Khader Mohra (Akhuri),500,integrated_exposure_score,0.0005419389978213521,-0.021652142338416856,0.029527959331880894,0.09999999999999999,5,descriptive_five_epoch_trajectory
139-008,Kalawan group of buildings,500,ndvi_median,0.0066747389733791355,-0.0029650509357452394,0.013023346662521362,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-008,Kalawan group of buildings,500,mndwi_median,-0.00042217671871185307,-0.0008052289485931396,0.002771681547164917,0.0,5,descriptive_five_epoch_trajectory
139-008,Kalawan group of buildings,500,ndbi_median,-0.004325008974410594,-0.011232596635818482,0.0012529242783784866,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-008,Kalawan group of buildings,500,landscape_pressure_score,-0.014093137254901961,-0.022352941176470575,-0.004117647058823537,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-008,Kalawan group of buildings,500,integrated_exposure_score,-0.004743100944081332,-0.018809005083514862,0.009037763253449516,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-009,Giri complex of monuments,500,ndvi_median,0.004733191430568695,-0.009831863641738891,0.018020737171173095,0.7999999999999999,5,descriptive_five_epoch_trajectory
139-009,Giri complex of monuments,500,mndwi_median,-0.0015848964452743531,-0.005526363849639893,0.0014638721942901612,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-009,Giri complex of monuments,500,ndbi_median,-0.0024915363639593123,-0.013484391570091247,0.0072151973843574526,-0.49999999999999994,5,descriptive_five_epoch_trajectory
139-009,Giri complex of monuments,500,landscape_pressure_score,0.001764705882352935,-0.006470588235294117,0.005294117647058827,0.7,5,descriptive_five_epoch_trajectory
