component_id,component_name,radius_m,epoch_id,label_year,valid_cells,ndvi_median,ndvi_p10,ndvi_p90,ndbi_median,ndbi_p10,ndbi_p90,mndwi_median,mndwi_p10,mndwi_p90,bsi_median,bsi_p10,bsi_p90,classified_cells,lc_class_1_share,lc_class_2_share,lc_class_3_share,lc_class_4_share,lc_class_5_share,lc_class_6_share,ndvi_pressure,mndwi_pressure,ndbi_pressure,built_share_pressure,bare_share_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,slope_pressure,wetness_pressure,drainage_proximity_pressure,climate_extreme_score,integrated_exposure_score,local_priority_score
139-004,Sirkap (fortified city),250,E2004,2004,219,0.31075242161750793,0.26026052236557007,0.4544609785079956,0.03287586197257042,-0.06746658682823181,0.06104611977934837,-0.4300796687602997,-0.4581452012062073,-0.4033938944339752,0.10821005702018738,0.012084399349987507,0.1384991556406021,219,0.0,0.0136986301369863,0.6621004566210046,0.0091324200913242,0.3150684931506849,0.0,0.9705882352941176,0.6411764705882353,0.9588235294117647,0.12352941176470589,0.7411764705882353,0.9647058823529412,0.8029411764705883,0.2647058823529412,0.2647058823529412,0.3235294117647059,0.20588235294117646,0.5166666666666666,0.5281045751633987,0.5338235294117647
139-004,Sirkap (fortified city),250,E2009,2009,219,0.29445523023605347,0.23515555262565613,0.42550623416900635,0.04505958780646324,-0.03642722964286804,0.07773283869028091,-0.42654329538345337,-0.4548778235912323,-0.40103691816329956,0.11801429092884064,0.030323754996061325,0.1470663845539093,219,0.0182648401826484,0.1415525114155251,0.5251141552511416,0.0,0.3150684931506849,0.0,0.9823529411764705,0.5705882352941176,0.9941176470588236,0.4117647058823529,0.9352941176470588,0.9882352941176471,0.7794117647058824,0.2647058823529412,0.2647058823529412,0.3235294117647059,0.20588235294117646,0.462037037037037,0.5020515613652868,0.5220588235294118
139-004,Sirkap (fortified city),250,E2014,2014,219,0.3285945951938629,0.24092286825180054,0.5103806257247925,0.018025677651166916,-0.08050313591957092,0.07289531081914902,-0.40534114837646484,-0.46608564257621765,-0.37820833921432495,0.0859866812825203,-0.012018800713121891,0.13407841324806213,219,0.136986301369863,0.0182648401826484,0.54337899543379,0.0821917808219178,0.2191780821917808,0.0,0.9470588235294117,0.18235294117647058,0.9470588235294117,0.7352941176470589,0.7823529411764706,0.9470588235294117,0.5647058823529412,0.2647058823529412,0.2647058823529412,0.3235294117647059,0.20588235294117646,0.4842592592592592,0.43789034132171384,0.41470588235294115
139-004,Sirkap (fortified city),250,E2019,2019,219,0.39746204018592834,0.29709938168525696,0.5226053595542908,-0.014020527713000774,-0.07325255870819092,0.03483176231384277,-0.4296317994594574,-0.4750698208808899,-0.39199239015579224,0.05553615838289261,-0.011356007307767868,0.10284726321697235,219,0.0410958904109589,0.0,0.7031963470319634,0.0776255707762557,0.1780821917808219,0.0,0.6294117647058823,0.6294117647058823,0.8294117647058824,0.4647058823529412,0.3235294117647059,0.7294117647058824,0.6794117647058824,0.2647058823529412,0.2647058823529412,0.3235294117647059,0.20588235294117646,0.3138888888888889,0.4193355119825708,0.47205882352941175
139-004,Sirkap (fortified city),250,E2024,2024,219,0.42457327246665955,0.276787668466568,0.5888208150863647,-0.037107743322849274,-0.1492663323879242,0.05816701799631119,-0.43987879157066345,-0.4707590937614441,-0.402980774641037,0.035391755402088165,-0.07367118448019028,0.11794542521238327,219,0.0228310502283105,0.0045662100456621,0.5342465753424658,0.2054794520547945,0.2328767123287671,0.0,0.5,0.7941176470588235,0.6411764705882353,0.4294117647058823,0.6823529411764706,0.5705882352941176,0.6823529411764706,0.2647058823529412,0.2647058823529412,0.3235294117647059,0.20588235294117646,0.5259259259259259,0.49099491648511256,0.47352941176470587
139-005,Sirsukh (fortified ruined city),250,E2004,2004,220,0.4535936713218689,0.3480023741722107,0.5001429319381714,-0.06115564703941345,-0.12659908831119537,0.016980407759547234,-0.4346964359283447,-0.45806270837783813,-0.41459956765174866,0.013948106206953526,-0.036998387426137924,0.08895286917686462,220,0.0,0.0,0.6045454545454545,0.09090909090909091,0.30454545454545456,0.0,0.37058823529411766,0.7352941176470589,0.4411764705882353,0.12352941176470589,0.3235294117647059,0.40588235294117647,0.5705882352941176,0.4313725490196078,0.08823529411764706,0.9411764705882353,0.2647058823529412,0.5166666666666666,0.5062091503267974,0.5009803921568627
139-005,Sirsukh (fortified ruined city),250,E2009,2009,220,0.44384753704071045,0.3493710458278656,0.512880265712738,-0.06268888711929321,-0.11688733100891113,0.0076200044713914394,-0.4327507019042969,-0.44937634468078613,-0.413840651512146,0.010863141156733036,-0.04034700244665146,0.07942437380552292,220,0.0,0.0,0.75,0.10454545454545454,0.14545454545454545,0.0,0.4176470588235294,0.7,0.40588235294117647,0.12352941176470589,0.3235294117647059,0.4117647058823529,0.5558823529411765,0.4313725490196078,0.08823529411764706,0.9411764705882353,0.2647058823529412,0.462037037037037,0.4830973129992738,0.4936274509803922
139-005,Sirsukh (fortified ruined city),250,E2014,2014,220,0.49761998653411865,0.39681732654571533,0.6108987331390381,-0.10105745494365692,-0.1931537538766861,-0.005836052354425192,-0.43172043561935425,-0.46018725633621216,-0.41347283124923706,-0.01959935575723648,-0.11646615713834763,0.059343066066503525,220,0.00909090909090909,0.01818181818181818,0.36818181818181817,0.4590909090909091,0.14545454545454545,0.0,0.2647058823529412,0.6647058823529411,0.2411764705882353,0.3058823529411765,0.7705882352941177,0.2529411764705882,0.4588235294117647,0.4313725490196078,0.08823529411764706,0.9411764705882353,0.2647058823529412,0.4842592592592592,0.45815177923021055,0.44509803921568625
139-005,Sirsukh (fortified ruined city),250,E2019,2019,220,0.5246029496192932,0.4241449236869812,0.6090677380561829,-0.13406360149383545,-0.20375686883926392,-0.0503687858581543,-0.4208154082298279,-0.4419640004634857,-0.40042054653167725,-0.046903908252716064,-0.11836909502744675,0.027115171775221825,220,0.004545454545454545,0.0,0.4090909090909091,0.5454545454545454,0.04090909090909091,0.0,0.19411764705882353,0.4411764705882353,0.14705882352941177,0.2529411764705882,0.3235294117647059,0.17058823529411765,0.3058823529411765,0.4313725490196078,0.08823529411764706,0.9411764705882353,0.2647058823529412,0.3138888888888889,0.35038126361655775,0.3686274509803922
139-005,Sirsukh (fortified ruined city),250,E2024,2024,220,0.5286792516708374,0.4203551411628723,0.5928874611854553,-0.11309895664453506,-0.16509267687797546,-0.038327209651470184,-0.4496169686317444,-0.47422733902931213,-0.42354816198349,-0.038180988281965256,-0.09004833549261093,0.03650577366352081,220,0.0,0.0,0.35,0.38636363636363635,0.2636363636363636,0.0,0.17058823529411765,0.8647058823529412,0.20588235294117646,0.12352941176470589,0.3235294117647059,0.18823529411764706,0.5264705882352941,0.4313725490196078,0.08823529411764706,0.9411764705882353,0.2647058823529412,0.5259259259259259,0.4945896877269426,0.47892156862745094
