component_id,component_name,radius_m,epoch_id,label_year,valid_cells,ndvi_median,ndvi_p10,ndvi_p90,ndbi_median,ndbi_p10,ndbi_p90,mndwi_median,mndwi_p10,mndwi_p90,bsi_median,bsi_p10,bsi_p90,classified_cells,lc_class_1_share,lc_class_2_share,lc_class_3_share,lc_class_4_share,lc_class_5_share,lc_class_6_share,ndvi_pressure,ndbi_pressure,mndwi_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,slope_pressure,wetness_pressure,drainage_proximity_pressure,local_priority_score,fixed_rank
139-018,Giri Mosque and tombs,250,E2014,2014,219,0.5281989574432373,0.4165857434272766,0.6400242447853088,-0.0954969301819801,-0.2204081863164901,0.0172151308506727,-0.4735402464866638,-0.4947357773780823,-0.4353347420692444,-0.0244091730564832,-0.1409060508012771,0.0736515894532203,219,0.0,0.0,0.0547945205479452,0.4474885844748858,0.4977168949771689,0.0,0.18235294117647058,0.28823529411764703,0.9941176470588236,0.23529411764705882,0.6147058823529412,0.7352941176470588,0.8529411764705882,0.4411764705882353,0.9117647058823529,0.675,
139-018,Giri Mosque and tombs,250,E2019,2019,219,0.5289149284362793,0.3750776648521423,0.662033200263977,-0.1006573140621185,-0.2334359139204025,0.0324723199009895,-0.4663271307945251,-0.4891673624515533,-0.4230426251888275,-0.02400928363204,-0.1555755287408828,0.0931369364261627,219,0.0,0.0,0.1278538812785388,0.3789954337899543,0.4931506849315068,0.0,0.1588235294117647,0.2529411764705882,0.9705882352941176,0.20588235294117646,0.5882352941176471,0.7352941176470588,0.8529411764705882,0.4411764705882353,0.9117647058823529,0.6617647058823529,
139-018,Giri Mosque and tombs,250,E2024,2024,219,0.628342866897583,0.5047805905342102,0.7293673157691956,-0.1762988269329071,-0.2737511992454529,-0.0786423683166503,-0.4692588448524475,-0.4917657673358917,-0.43702232837677,-0.1057726666331291,-0.2035373151302337,-0.0050196503289043,219,0.0,0.0,0.0319634703196347,0.771689497716895,0.1963470319634703,0.0,0.01764705882352941,0.052941176470588235,0.9823529411764705,0.03529411764705882,0.5088235294117647,0.7352941176470588,0.8529411764705882,0.4411764705882353,0.9117647058823529,0.6220588235294118,1.0
139-001,Khanpur Cave,500,E2004,2004,871,0.3680725395679474,0.2309322506189346,0.5044877529144287,-0.0227795671671628,-0.1743470877408981,0.1083079054951667,-0.4178189635276794,-0.4550961852073669,-0.3517124056816101,0.0525595173239707,-0.0812405422329902,0.1640967428684234,871,0.1412169919632606,0.1113662456946039,0.4144661308840413,0.1171067738231917,0.2158438576349024,0.0,0.711764705882353,0.6294117647058823,0.45294117647058824,0.6705882352941177,0.5617647058823529,0.4411764705882353,0.6176470588235294,0.3235294117647059,0.38235294117647056,0.5014705882352941,
139-001,Khanpur Cave,500,E2009,2009,871,0.346601665019989,0.2118292301893234,0.4767153561115265,-0.0122374230995774,-0.1532582491636276,0.1265301704406738,-0.4181301891803741,-0.4565170407295227,-0.3446846306324005,0.0620109923183918,-0.0627417266368866,0.1828875392675399,871,0.2169919632606199,0.1526980482204362,0.3444316877152698,0.0401836969001148,0.2456946039035591,0.0,0.8647058823529412,0.7470588235294118,0.4647058823529412,0.8058823529411765,0.6352941176470588,0.4411764705882353,0.6176470588235294,0.3235294117647059,0.38235294117647056,0.538235294117647,
139-001,Khanpur Cave,500,E2014,2014,858,0.3670114278793335,0.2140843272209167,0.5667889714241028,-0.0133531596511602,-0.2054796516895294,0.1304217875003814,-0.4168847203254699,-0.4547813534736633,-0.3433529734611511,0.0626628994941711,-0.1080366894602775,0.1762847602367401,858,0.1678321678321678,0.1468531468531468,0.2529137529137529,0.1433566433566433,0.289044289044289,0.0,0.7235294117647059,0.7235294117647059,0.4294117647058823,0.7235294117647059,0.5764705882352941,0.4411764705882353,0.6176470588235294,0.3235294117647059,0.38235294117647056,0.5088235294117647,
139-001,Khanpur Cave,500,E2019,2019,802,0.3714892566204071,0.2048234641551971,0.6024132966995239,-0.026269145309925,-0.2432964146137237,0.1327250897884369,-0.4102442264556885,-0.4514716565608978,-0.3372710645198822,0.0551833435893058,-0.1327444612979889,0.1757107824087143,802,0.1633416458852868,0.185785536159601,0.2344139650872818,0.1758104738154613,0.240648379052369,0.0,0.6529411764705882,0.6058823529411764,0.2411764705882353,0.6294117647058823,0.43529411764705883,0.4411764705882353,0.6176470588235294,0.3235294117647059,0.38235294117647056,0.43823529411764706,
139-001,Khanpur Cave,500,E2024,2024,858,0.4356506764888763,0.239103615283966,0.6225318312644958,-0.0676507651805877,-0.2242705821990966,0.0949670299887657,-0.418300986289978,-0.4674368798732757,-0.3454891443252563,0.0140015482902526,-0.1317370384931564,0.1491468548774719,858,0.1794871794871795,0.0769230769230769,0.2587412587412587,0.2599067599067599,0.2249417249417249,0.0,0.3588235294117647,0.37058823529411766,0.4764705882352941,0.3647058823529412,0.42058823529411765,0.4411764705882353,0.6176470588235294,0.3235294117647059,0.38235294117647056,0.4308823529411765,14.0
139-003,Bhir Mound,500,E2004,2004,874,0.3219276070594787,0.2415235042572021,0.4381678104400635,0.0136535633355379,-0.0830859914422035,0.0598983094096183,-0.4013636112213135,-0.4484156966209411,-0.3559524416923523,0.0848466455936431,-0.0024798256345093,0.1305047422647476,874,0.2860411899313501,0.0320366132723112,0.5526315789473685,0.0217391304347826,0.1075514874141876,0.0,0.9352941176470588,0.9,0.12352941176470589,0.9176470588235295,0.5205882352941177,0.38235294117647056,0.2647058823529412,0.7352941176470589,0.14705882352941177,0.4514705882352941,
139-003,Bhir Mound,500,E2009,2009,874,0.3052144646644592,0.227720245718956,0.4194439947605133,0.0153253022581338,-0.0617278069257736,0.0585535392165184,-0.3919426202774048,-0.4465413987636566,-0.3400099873542785,0.0852548629045486,0.0150010623037815,0.1263839900493621,874,0.4290617848970252,0.040045766590389,0.408466819221968,0.005720823798627,0.1167048054919908,0.0,0.9705882352941176,0.9352941176470588,0.041176470588235294,0.9529411764705882,0.4970588235294117,0.38235294117647056,0.2647058823529412,0.7352941176470589,0.14705882352941177,0.43970588235294117,
