component_id,component_name,radius_m,terrain_model,landscape_weight,terrain_weight,score,rank,top3,top5
139-009,Giri complex of monuments,500,correlation_adjusted,0.25,0.75,0.634324020335034,1,True,True
139-010,Kunala stupa and monastery,500,correlation_adjusted,0.25,0.75,0.47742963604987854,10,False,False
139-011,Jandial complex,500,correlation_adjusted,0.25,0.75,0.39765220592467826,14,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,500,correlation_adjusted,0.25,0.75,0.3545169520864937,17,False,False
139-013,Mohra Moradu stupa and monastery,500,correlation_adjusted,0.25,0.75,0.5558713034437361,5,False,True
139-014,Pippala stupa and monastery,500,correlation_adjusted,0.25,0.75,0.5253267260715451,8,False,False
139-015,Jaulian stupa and monastery,500,correlation_adjusted,0.25,0.75,0.5931475497467988,4,False,True
139-016,Lalchak mounds,500,correlation_adjusted,0.25,0.75,0.39100823048523103,15,False,False
139-017,Buddhist remains around Bhallar stupa,500,correlation_adjusted,0.25,0.75,0.6088236927958384,3,True,True
139-018,Giri Mosque and tombs,500,correlation_adjusted,0.25,0.75,0.6122402782202464,2,True,True
139-001,Khanpur Cave,500,correlation_adjusted,0.5,0.5,0.4292293707940895,14,False,False
139-003,Bhir Mound,500,correlation_adjusted,0.5,0.5,0.33962557151041134,17,False,False
139-004,Sirkap (fortified city),500,correlation_adjusted,0.5,0.5,0.47953739080615965,12,False,False
139-005,Sirsukh (fortified ruined city),500,correlation_adjusted,0.5,0.5,0.5030432595398512,9,False,False
139-006,Dharmarajika stupa and monastery,500,correlation_adjusted,0.5,0.5,0.5375320126102133,4,False,True
139-007,Khader Mohra (Akhuri),500,correlation_adjusted,0.5,0.5,0.5339747961154848,6,False,False
139-008,Kalawan group of buildings,500,correlation_adjusted,0.5,0.5,0.5194775940076657,7,False,False
139-009,Giri complex of monuments,500,correlation_adjusted,0.5,0.5,0.5915101312037482,1,True,True
139-010,Kunala stupa and monastery,500,correlation_adjusted,0.5,0.5,0.4986785808959974,11,False,False
139-011,Jandial complex,500,correlation_adjusted,0.5,0.5,0.350395588263511,16,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,500,correlation_adjusted,0.5,0.5,0.3932073798223683,15,False,False
139-013,Mohra Moradu stupa and monastery,500,correlation_adjusted,0.5,0.5,0.5372475356291575,5,False,True
139-014,Pippala stupa and monastery,500,correlation_adjusted,0.5,0.5,0.5011982095378928,10,False,False
139-015,Jaulian stupa and monastery,500,correlation_adjusted,0.5,0.5,0.5679807194390424,3,True,True
139-016,Lalchak mounds,500,correlation_adjusted,0.5,0.5,0.4469466634607423,13,False,False
139-017,Buddhist remains around Bhallar stupa,500,correlation_adjusted,0.5,0.5,0.5186275599031079,8,False,False
139-018,Giri Mosque and tombs,500,correlation_adjusted,0.5,0.5,0.57090528351938,2,True,True
139-001,Khanpur Cave,500,correlation_adjusted,0.75,0.25,0.42490880304410356,15,False,False
139-003,Bhir Mound,500,correlation_adjusted,0.75,0.25,0.31834219751991155,16,False,False
139-004,Sirkap (fortified city),500,correlation_adjusted,0.75,0.25,0.5382981071677857,5,False,True
139-005,Sirsukh (fortified ruined city),500,correlation_adjusted,0.75,0.25,0.532403982711102,6,False,False
139-006,Dharmarajika stupa and monastery,500,correlation_adjusted,0.75,0.25,0.5452365945404007,2,True,True
139-007,Khader Mohra (Akhuri),500,correlation_adjusted,0.75,0.25,0.5228697509989189,8,False,False
139-008,Kalawan group of buildings,500,correlation_adjusted,0.75,0.25,0.5435623264155975,3,True,True
139-009,Giri complex of monuments,500,correlation_adjusted,0.75,0.25,0.5486962420724624,1,True,True
139-010,Kunala stupa and monastery,500,correlation_adjusted,0.75,0.25,0.5199275257421163,9,False,False
139-011,Jandial complex,500,correlation_adjusted,0.75,0.25,0.30313897060234374,17,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,500,correlation_adjusted,0.75,0.25,0.431897807558243,13,False,False
139-013,Mohra Moradu stupa and monastery,500,correlation_adjusted,0.75,0.25,0.5186237678145788,10,False,False
139-014,Pippala stupa and monastery,500,correlation_adjusted,0.75,0.25,0.4770696930042405,12,False,False
139-015,Jaulian stupa and monastery,500,correlation_adjusted,0.75,0.25,0.5428138891312859,4,False,True
139-016,Lalchak mounds,500,correlation_adjusted,0.75,0.25,0.5028850964362535,11,False,False
139-017,Buddhist remains around Bhallar stupa,500,correlation_adjusted,0.75,0.25,0.4284314270103775,14,False,False
139-018,Giri Mosque and tombs,500,correlation_adjusted,0.75,0.25,0.5295702888185134,7,False,False
139-001,Khanpur Cave,500,reduced_slope_drainage,0.25,0.75,0.4801470588235294,11,False,False
139-003,Bhir Mound,500,reduced_slope_drainage,0.25,0.75,0.22867647058823531,15,False,False
139-004,Sirkap (fortified city),500,reduced_slope_drainage,0.25,0.75,0.3477941176470588,12,False,False
139-005,Sirsukh (fortified ruined city),500,reduced_slope_drainage,0.25,0.75,0.2948529411764706,14,False,False
139-006,Dharmarajika stupa and monastery,500,reduced_slope_drainage,0.25,0.75,0.49117647058823527,10,False,False
139-007,Khader Mohra (Akhuri),500,reduced_slope_drainage,0.25,0.75,0.7455882352941177,4,False,True
