radius_m,component_a,component_b,distance_m,intersection_area_m2,jaccard_overlap,flag_cluster_aware
500,Sirsukh (fortified ruined city),Lalchak and Badalpur Buddhist stuppa,1997.28712248637,0.0,0.0,False
500,Sirsukh (fortified ruined city),Mohra Moradu stupa and monastery,1621.9528143382859,0.0,0.0,False
500,Sirsukh (fortified ruined city),Pippala stupa and monastery,1720.0390772084254,0.0,0.0,False
500,Sirsukh (fortified ruined city),Jaulian stupa and monastery,2500.5645172979816,0.0,0.0,False
500,Sirsukh (fortified ruined city),Buddhist remains around Bhallar stupa,5101.817110601608,0.0,0.0,False
500,Sirsukh (fortified ruined city),Giri Mosque and tombs,5699.809443087089,0.0,0.0,False
500,Dharmarajika stupa and monastery,Khader Mohra (Akhuri),2450.0809737191776,0.0,0.0,False
500,Dharmarajika stupa and monastery,Giri complex of monuments,4145.52267352744,0.0,0.0,False
500,Dharmarajika stupa and monastery,Kunala stupa and monastery,1227.7422520238406,0.0,0.0,False
500,Dharmarajika stupa and monastery,Jandial complex,2537.9538101901844,0.0,0.0,False
500,Dharmarajika stupa and monastery,Lalchak and Badalpur Buddhist stuppa,4741.772187213407,0.0,0.0,False
500,Dharmarajika stupa and monastery,Mohra Moradu stupa and monastery,2494.6309683203995,0.0,0.0,False
500,Dharmarajika stupa and monastery,Pippala stupa and monastery,3242.0744579590146,0.0,0.0,False
500,Dharmarajika stupa and monastery,Jaulian stupa and monastery,3775.7026763888252,0.0,0.0,False
500,Dharmarajika stupa and monastery,Lalchak mounds,3363.0917399596738,0.0,0.0,False
500,Dharmarajika stupa and monastery,Buddhist remains around Bhallar stupa,7801.525432605073,0.0,0.0,False
500,Dharmarajika stupa and monastery,Giri Mosque and tombs,3977.794884698132,0.0,0.0,False
500,Khader Mohra (Akhuri),Kalawan group of buildings,2523.36204908829,0.0,0.0,False
500,Khader Mohra (Akhuri),Giri complex of monuments,4094.504446224003,0.0,0.0,False
500,Khader Mohra (Akhuri),Kunala stupa and monastery,2941.54813299572,0.0,0.0,False
500,Khader Mohra (Akhuri),Jandial complex,2974.7070910684306,0.0,0.0,False
500,Khader Mohra (Akhuri),Lalchak and Badalpur Buddhist stuppa,2425.285544867534,0.0,0.0,False
500,Khader Mohra (Akhuri),Jaulian stupa and monastery,1430.9852135424212,0.0,0.0,False
500,Khader Mohra (Akhuri),Lalchak mounds,1837.8327616037952,0.0,0.0,False
500,Khader Mohra (Akhuri),Buddhist remains around Bhallar stupa,6700.240453556556,0.0,0.0,False
500,Khader Mohra (Akhuri),Giri Mosque and tombs,4098.263908922641,0.0,0.0,False
500,Kalawan group of buildings,Giri complex of monuments,4466.264282366186,0.0,0.0,False
500,Kalawan group of buildings,Jandial complex,2251.3183548617594,0.0,0.0,False
500,Kalawan group of buildings,Lalchak and Badalpur Buddhist stuppa,4730.260082120741,0.0,0.0,False
