component_id,component_name,radius_m,indicator,delta_native,delta_oli_like,same_direction,absolute_delta_difference
139-016,Lalchak mounds,500,NDBI,-0.04198048263788223,-0.036771126091480255,True,0.0052093565464019775
139-016,Lalchak mounds,500,MNDWI,-0.04612100124359131,-0.015832126140594482,True,0.030288875102996826
139-016,Lalchak mounds,1000,NDVI,0.08692264556884766,0.060128241777420044,True,0.026794403791427612
139-016,Lalchak mounds,1000,NDBI,-0.039925716817379,-0.03491664677858353,True,0.005009070038795471
139-016,Lalchak mounds,1000,MNDWI,-0.03747749328613281,-0.006680518388748169,True,0.030796974897384644
139-017,Buddhist remains around Bhallar stupa,250,NDVI,0.1011151671409607,0.06806313991546631,True,0.033052027225494385
139-017,Buddhist remains around Bhallar stupa,250,NDBI,-0.05301023833453655,-0.04278901033103466,True,0.010221228003501892
139-017,Buddhist remains around Bhallar stupa,250,MNDWI,-0.04240679740905762,-0.010752856731414795,True,0.03165394067764282
139-017,Buddhist remains around Bhallar stupa,500,NDVI,0.0557885617017746,0.023353174328804016,True,0.03243538737297058
139-017,Buddhist remains around Bhallar stupa,500,NDBI,-0.017667710315436125,-0.0074709681794047356,True,0.01019674213603139
139-017,Buddhist remains around Bhallar stupa,500,MNDWI,-0.022997096180915833,0.008227497339248657,False,0.03122459352016449
139-017,Buddhist remains around Bhallar stupa,1000,NDVI,0.033212050795555115,-0.0010036230087280273,False,0.03421567380428314
139-017,Buddhist remains around Bhallar stupa,1000,NDBI,-0.01823720894753933,-0.005688735982403159,True,0.01254847296513617
139-017,Buddhist remains around Bhallar stupa,1000,MNDWI,-0.02491830289363861,0.008389651775360107,False,0.03330795466899872
139-018,Giri Mosque and tombs,250,NDVI,0.10708785057067871,0.08984392881393433,True,0.017243921756744385
139-018,Giri Mosque and tombs,250,NDBI,-0.047374457120895386,-0.05253574252128601,True,0.005161285400390625
139-018,Giri Mosque and tombs,250,MNDWI,-0.05621379613876343,-0.027606695890426636,True,0.028607100248336792
139-018,Giri Mosque and tombs,500,NDVI,0.1147158145904541,0.09682351350784302,True,0.017892301082611084
139-018,Giri Mosque and tombs,500,NDBI,-0.031109243631362915,-0.04233197867870331,True,0.011222735047340393
139-018,Giri Mosque and tombs,500,MNDWI,-0.07197536528110504,-0.0376584529876709,True,0.03431691229343414
139-018,Giri Mosque and tombs,1000,NDVI,0.12210863828659058,0.0965319275856018,True,0.02557671070098877
139-018,Giri Mosque and tombs,1000,NDBI,-0.03833746910095215,-0.04727943241596222,True,0.00894196331501007
139-018,Giri Mosque and tombs,1000,MNDWI,-0.06792718172073364,-0.032461732625961304,True,0.03546544909477234
